Signal_ID,Date,Signal_Type,Signal_Strength,Confidence_Score,Entry_Price,Exit_Price,Predicted_Price,Target_Price,Stop_Loss_Price,Actual_Gain_Loss_Pct,Actual_Gain_Loss_Amount,Max_Gain_During_Period,Max_Loss_During_Period,Volatility_During_Period,Prediction_Accuracy,Target_Hit,Stop_Loss_Hit,Exit_Reason,Planned_Duration_Days,Actual_Duration_Days,Annualized_Return_Pct,Risk_Reward_Ratio,Portfolio_Value_After_Trade,Predicted_Trend,Actual_Trend,Trade_Success,High_Confidence
SIG_0001,Day_0,SELL,Strong,32.59,66.47,67.52,3135.98,73.12,64.48,1.58,0.0,1.58,0.0,1.58,Incorrect,No,No,Target_Duration,1,1,576.58,3.33,100000.0,Bearish,Bullish,Profitable,Yes
SIG_0002,Day_1,BUY,Strong,44.59,67.52,36.36,4534.22,74.27,65.49,-46.15,-4614.93,0.0,-46.15,46.15,Incorrect,No,Yes,Stop_Loss,1,1,-16844.49,3.33,95385.07,Bullish,Bearish,Loss,Yes
SIG_0003,Day_2,SELL,Strong,35.55,36.36,66.87,2922.38,40.0,35.27,83.91,0.0,83.91,0.0,83.91,Incorrect,Yes,No,Target_Hit,1,1,30627.48,3.33,95385.07,Bearish,Bullish,Profitable,Yes
SIG_0004,Day_3,BUY,Strong,53.79,66.87,36.39,4494.24,73.56,64.86,-45.58,-4347.74,0.0,-45.58,45.58,Incorrect,No,Yes,Stop_Loss,1,1,-16637.06,3.33,91037.33,Bullish,Bearish,Loss,Yes
SIG_0005,Day_4,SELL,Strong,33.08,36.39,35.97,3007.6,40.03,35.3,-1.15,0.0,0.0,-1.15,1.15,Correct,No,No,Target_Duration,1,1,-421.27,3.33,91037.33,Bearish,Bearish,Loss,Yes
SIG_0006,Day_5,BUY,Strong,4.98,35.97,67.62,3157.49,39.57,34.89,87.99,8010.37,87.99,0.0,87.99,Correct,Yes,No,Target_Hit,1,1,32116.35,3.33,99047.7,Bullish,Bullish,Profitable,Yes
SIG_0007,Day_6,BUY,Strong,44.77,67.62,67.56,4570.98,74.38,65.59,-0.09,-8.79,0.0,-0.09,0.09,Incorrect,No,No,Target_Duration,1,1,-32.39,3.33,99038.91,Bullish,Bearish,Loss,Yes
SIG_0008,Day_7,SELL,Strong,29.36,67.56,35.88,3228.81,74.32,65.53,-46.89,0.0,0.0,-46.89,46.89,Correct,No,Yes,Stop_Loss,1,1,-17115.45,3.33,99038.91,Bearish,Bearish,Loss,Yes
SIG_0009,Day_8,BUY,Strong,50.78,35.88,68.04,4868.49,39.47,34.8,89.63,8877.07,89.63,0.0,89.63,Correct,Yes,No,Target_Hit,1,1,32715.72,3.33,107915.98,Bullish,Bullish,Profitable,Yes
SIG_0010,Day_9,SELL,Strong,32.4,68.04,36.52,3291.02,74.84,66.0,-46.33,0.0,0.0,-46.33,46.33,Correct,No,Yes,Stop_Loss,1,1,-16908.88,3.33,107915.98,Bearish,Bearish,Loss,Yes
SIG_0011,Day_10,BUY,Strong,48.85,36.52,66.66,4898.82,40.17,35.42,82.53,8906.32,82.53,0.0,82.53,Correct,Yes,No,Target_Hit,1,1,30123.49,3.33,116822.3,Bullish,Bullish,Profitable,Yes
SIG_0012,Day_11,SELL,Strong,37.02,66.66,36.58,3085.44,73.33,64.66,-45.12,0.0,0.0,-45.12,45.12,Correct,No,Yes,Stop_Loss,1,1,-16470.45,3.33,116822.3,Bearish,Bearish,Loss,Yes
SIG_0013,Day_12,BUY,Strong,54.32,36.58,74.27,4761.33,40.24,35.48,103.03,12036.72,103.03,0.0,103.03,Correct,Yes,No,Target_Hit,1,1,37607.57,3.33,128859.02,Bullish,Bullish,Profitable,Yes
SIG_0014,Day_13,SELL,Strong,6.37,74.27,40.1,4457.93,81.7,72.04,-46.01,0.0,0.0,-46.01,46.01,Correct,No,Yes,Stop_Loss,1,1,-16792.85,3.33,128859.02,Bearish,Bearish,Loss,Yes
SIG_0015,Day_14,SELL,Strong,32.16,40.1,41.66,3024.42,44.11,38.9,3.89,0.0,3.89,0.0,3.89,Incorrect,No,No,Target_Duration,1,1,1419.95,3.33,128859.02,Bearish,Bullish,Profitable,Yes
SIG_0016,Day_15,BUY,Strong,45.01,41.66,74.31,4385.65,45.83,40.41,78.37,10099.01,78.37,0.0,78.37,Correct,Yes,No,Target_Hit,1,1,28605.98,3.33,138958.02,Bullish,Bullish,Profitable,Yes
SIG_0017,Day_16,SELL,Strong,36.37,74.31,41.39,2790.4,81.74,72.08,-44.3,0.0,0.0,-44.3,44.3,Correct,No,Yes,Stop_Loss,1,1,-16169.83,3.33,138958.02,Bearish,Bearish,Loss,Yes
SIG_0018,Day_17,BUY,Strong,11.34,41.39,72.99,3106.71,45.53,40.15,76.35,10609.02,76.35,0.0,76.35,Correct,Yes,No,Target_Hit,1,1,27866.63,3.33,149567.05,Bullish,Bullish,Profitable,Yes
SIG_0019,Day_18,BUY,Strong,46.79,72.99,39.82,4560.39,80.29,70.8,-45.44,-6797.01,0.0,-45.44,45.44,Incorrect,No,Yes,Stop_Loss,1,1,-16587.27,3.33,142770.03,Bullish,Bearish,Loss,Yes
SIG_0020,Day_19,SELL,Strong,27.47,39.82,72.02,3307.51,43.8,38.63,80.86,0.0,80.86,0.0,80.86,Incorrect,Yes,No,Target_Hit,1,1,29515.32,3.33,142770.03,Bearish,Bullish,Profitable,Yes
SIG_0021,Day_20,BUY,Strong,51.06,72.02,39.04,4996.21,79.22,69.86,-45.79,-6537.84,0.0,-45.79,45.79,Incorrect,No,Yes,Stop_Loss,1,1,-16714.38,3.33,136232.19,Bullish,Bearish,Loss,Yes
SIG_0022,Day_21,SELL,Strong,31.83,39.04,70.55,3406.09,42.94,37.87,80.71,0.0,80.71,0.0,80.71,Incorrect,Yes,No,Target_Hit,1,1,29459.91,3.33,136232.19,Bearish,Bullish,Profitable,Yes
SIG_0023,Day_22,BUY,Strong,46.45,70.55,70.73,4988.17,77.6,68.43,0.26,34.76,0.26,0.0,0.26,Correct,No,No,Target_Duration,1,1,93.13,3.33,136266.95,Bullish,Bullish,Profitable,Yes
SIG_0024,Day_23,SELL,Strong,34.5,70.73,40.55,3267.0,77.8,68.61,-42.67,0.0,0.0,-42.67,42.67,Correct,No,Yes,Stop_Loss,1,1,-15574.3,3.33,136266.95,Bearish,Bearish,Loss,Yes
SIG_0025,Day_24,BUY,Strong,45.85,40.55,69.46,4765.07,44.6,39.33,71.29,9715.11,71.29,0.0,71.29,Correct,Yes,No,Target_Hit,1,1,26022.56,3.33,145982.06,Bullish,Bullish,Profitable,Yes
SIG_0026,Day_25,SELL,Strong,3.88,69.46,39.69,4580.01,76.41,67.38,-42.86,0.0,0.0,-42.86,42.86,Correct,No,Yes,Stop_Loss,1,1,-15643.61,3.33,145982.06,Bearish,Bearish,Loss,Yes
SIG_0027,Day_26,SELL,Strong,28.34,39.69,39.22,3282.14,43.66,38.5,-1.18,0.0,0.0,-1.18,1.18,Correct,No,No,Target_Duration,1,1,-432.22,3.33,145982.06,Bearish,Bearish,Loss,Yes
SIG_0028,Day_27,SELL,Strong,4.43,39.22,70.51,3136.88,43.14,38.04,79.78,0.0,79.78,0.0,79.78,Incorrect,Yes,No,Target_Hit,1,1,29119.96,3.33,145982.06,Bearish,Bullish,Profitable,Yes
SIG_0029,Day_28,BUY,Strong,40.15,70.51,39.2,4396.31,77.56,68.39,-44.41,-6482.34,0.0,-44.41,44.41,Incorrect,No,Yes,Stop_Loss,1,1,-16207.84,3.33,139499.72,Bullish,Bearish,Loss,Yes
SIG_0030,Day_29,SELL,Strong,29.85,39.2,69.61,3084.01,43.12,38.02,77.58,0.0,77.58,0.0,77.58,Incorrect,Yes,No,Target_Hit,1,1,28315.43,3.33,139499.72,Bearish,Bullish,Profitable,Yes
SIG_0031,Day_30,BUY,Strong,52.11,69.61,39.09,4691.03,76.57,67.52,-43.84,-6116.26,0.0,-43.84,43.84,Incorrect,No,Yes,Stop_Loss,1,1,-16003.16,3.33,133383.45,Bullish,Bearish,Loss,Yes
SIG_0032,Day_31,SELL,Strong,34.81,39.09,70.68,3057.95,43.0,37.92,80.81,0.0,80.81,0.0,80.81,Incorrect,Yes,No,Target_Hit,1,1,29496.93,3.33,133383.45,Bearish,Bullish,Profitable,Yes
SIG_0033,Day_32,BUY,Strong,53.03,70.68,38.38,4679.59,77.75,68.56,-45.7,-6095.48,0.0,-45.7,45.7,Incorrect,No,Yes,Stop_Loss,1,1,-16680.11,3.33,127287.97,Bullish,Bearish,Loss,Yes
SIG_0034,Day_33,SELL,Strong,4.45,38.38,68.92,4471.43,42.22,37.23,79.57,0.0,79.57,0.0,79.57,Incorrect,Yes,No,Target_Hit,1,1,29044.03,3.33,127287.97,Bearish,Bullish,Profitable,Yes
SIG_0035,Day_34,SELL,Strong,31.23,68.92,37.35,3075.2,75.81,66.85,-45.81,0.0,0.0,-45.81,45.81,Correct,No,Yes,Stop_Loss,1,1,-16719.46,3.33,127287.97,Bearish,Bearish,Loss,Yes
SIG_0036,Day_35,BUY,Strong,40.57,37.35,67.89,4322.78,41.09,36.23,81.77,10407.96,81.77,0.0,81.77,Correct,Yes,No,Target_Hit,1,1,29844.98,3.33,137695.94,Bullish,Bullish,Profitable,Yes
SIG_0037,Day_36,SELL,Strong,35.18,67.89,69.82,2801.87,74.68,65.85,2.84,0.0,2.84,0.0,2.84,Incorrect,No,No,Target_Duration,1,1,1037.63,3.33,137695.94,Bearish,Bullish,Profitable,Yes
SIG_0038,Day_37,BUY,Strong,55.18,69.82,39.31,4347.81,76.8,67.73,-43.7,-6017.05,0.0,-43.7,43.7,Incorrect,No,Yes,Stop_Loss,1,1,-15949.8,3.33,131678.89,Bullish,Bearish,Loss,Yes
SIG_0039,Day_38,SELL,Strong,33.21,39.31,69.08,2903.77,43.24,38.13,75.73,0.0,75.73,0.0,75.73,Incorrect,Yes,No,Target_Hit,1,1,27641.95,3.33,131678.89,Bearish,Bullish,Profitable,Yes
SIG_0040,Day_39,BUY,Strong,8.03,69.08,38.6,3137.08,75.99,67.01,-44.12,-5810.04,0.0,-44.12,44.12,Incorrect,No,Yes,Stop_Loss,1,1,-16104.81,3.33,125868.85,Bullish,Bearish,Loss,Yes
SIG_0041,Day_40,BUY,Strong,46.02,38.6,69.19,4580.72,42.46,37.44,79.25,9974.94,79.25,0.0,79.25,Correct,Yes,No,Target_Hit,1,1,28925.78,3.33,135843.8,Bullish,Bullish,Profitable,Yes
SIG_0042,Day_41,BUY,Strong,3.88,69.19,38.62,4758.52,76.11,67.11,-44.18,-6001.94,0.0,-44.18,44.18,Incorrect,No,Yes,Stop_Loss,1,1,-16126.68,3.33,129841.85,Bullish,Bearish,Loss,Yes
SIG_0043,Day_42,SELL,Strong,30.36,38.62,38.3,3313.66,42.48,37.46,-0.83,0.0,0.0,-0.83,0.83,Correct,No,No,Target_Duration,1,1,-302.43,3.33,129841.85,Bearish,Bearish,Loss,Yes
SIG_0044,Day_43,BUY,Medium,1.5,38.3,69.11,3363.26,42.13,37.15,80.44,10444.98,80.44,0.0,80.44,Correct,Yes,No,Target_Hit,1,1,29362.01,3.33,140286.83,Bullish,Bullish,Profitable,No
SIG_0045,Day_44,BUY,Strong,39.77,69.11,38.22,4700.85,76.02,67.04,-44.7,-6270.38,0.0,-44.7,44.7,Incorrect,No,Yes,Stop_Loss,1,1,-16314.35,3.33,134016.45,Bullish,Bearish,Loss,Yes
SIG_0046,Day_45,SELL,Weak,0.34,38.22,70.16,4684.92,42.04,37.07,83.57,0.0,83.57,0.0,83.57,Incorrect,Yes,No,Target_Hit,1,1,30502.62,3.33,134016.45,Bearish,Bullish,Profitable,No
SIG_0047,Day_46,SELL,Strong,30.47,70.16,37.68,3257.5,77.18,68.06,-46.29,0.0,0.0,-46.29,46.29,Correct,No,Yes,Stop_Loss,1,1,-16897.38,3.33,134016.45,Bearish,Bearish,Loss,Yes
