COMPREHENSIVE LSTM BACKTESTING REPORT
============================================================

Generated: 2025-06-30 01:46:49
Number of Folds: 80

STRATEGY CONFIGURATION:
------------------------------
Indicators: RSI, ROC, Stochastic, TSI, OBV, MFI, PVT, TEMA, MACD, KAMA, ATR, BB, Ulcer
Model: LSTM [100, 50] units, 0.2 dropout
Sequence Length: 60 days
Target Horizon: 5 days
Initial Capital: $100.00
Commission: 0.100%
Slippage: 0.050%

AGGREGATED PERFORMANCE METRICS:
----------------------------------------
Average Total Return: 56.66%
Standard Deviation: 115.58%
Average Annual Return: 460.32%
Average Sharpe Ratio: 1.468
Average Max Drawdown: -50.46%
Average Win Rate: 41.04%
Average Excess Return: 41.19%

CONSISTENCY METRICS:
-------------------------
Positive Periods: 46/80
Consistency Ratio: 57.50%
Best Period: 499.25%
Worst Period: -64.12%

STATISTICAL SIGNIFICANCE:
------------------------------
T-Statistic: 3.243
P-Value: 0.0017
Significant (p < 0.05): Yes

INDIVIDUAL FOLD RESULTS:
------------------------------
Fold | Period                    | Return  | Sharpe | Max DD | Win Rate
----------------------------------------------------------------------
   1 | 2021-12-28 to 2022-02-10 | -38.65% |  0.099 | -44.44% |  52.94%
   2 | 2022-01-11 to 2022-02-24 | -3.54% |  1.017 | -44.38% |  43.75%
   3 | 2022-01-27 to 2022-03-14 | -56.29% | -1.287 | -59.08% |  20.00%
   4 | 2022-02-10 to 2022-03-29 | 166.20% |  1.647 | -49.63% |  37.50%
   5 | 2022-02-25 to 2022-04-13 | -60.70% | -1.586 | -60.94% |  20.00%
   6 | 2022-03-14 to 2022-04-29 | 76.48% |  1.550 | -49.73% |  16.67%
   7 | 2022-03-30 to 2022-05-17 | -50.68% |  0.938 | -50.68% |  14.29%
   8 | 2022-04-13 to 2022-05-31 | -42.03% |  1.388 | -65.52% |  50.00%
   9 | 2022-05-02 to 2022-06-15 | -40.34% |  0.783 | -65.69% |  14.29%
  10 | 2022-05-17 to 2022-06-29 | 40.63% |  2.488 | -46.10% |  33.33%
  11 | 2022-06-01 to 2022-07-14 | 60.78% |  1.970 | -66.29% |  33.33%
