Date,Company,Close_Price,Actual_Target,Predicted_Signal,Signal_Probability,Signal_Strength,Correct_Prediction,Signal_Direction,Actual_Direction,Warning
2022-01-13,GOOGL,-0.09579576232438729,0,0,0.43462268,0.13075465,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-13,MSFT,0.12316879851605904,1,0,0.41844147,0.16311705,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-13,AAPL,1.122265044487278,0,0,0.41213712,0.17572576,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-13,TSLA,-0.48234423735262416,1,0,0.41396207,0.17207587,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-13,AMZN,-0.12368394931892016,1,0,0.42979655,0.1404069,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-14,MSFT,-0.20103441281939383,0,0,0.45759657,0.08480686,1,Bearish,Bearish,CORRECT_PREDICTION
2022-01-14,GOOGL,1.8692994141532526,1,0,0.48566929,0.02866143,0,Bearish,Bullish,OPPOSITE_PREDICTION
2022-01-14,AMZN,0.1008885112709661,1,1,0.52078205,0.041564107,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-14,AAPL,0.46146992326330843,0,1,0.551572,0.10314405,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-14,TSLA,0.9004186030024253,1,1,0.56519276,0.13038552,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-15,GOOGL,-1.1517852806610707,0,1,0.57443905,0.1488781,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-15,AMZN,1.725421403237292,0,1,0.58178747,0.16357493,0,Bullish,Bearish,OPPOSITE_PREDICTION
2022-01-15,TSLA,0.25941445429488874,1,1,0.58260983,0.16521966,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-15,MSFT,-0.8703643493823675,1,1,0.57651794,0.15303588,1,Bullish,Bullish,CORRECT_PREDICTION
2022-01-15,AAPL,1.1674766837328,1,1,0.5693654,0.13873076,1,Bullish,Bullish,CORRECT_PREDICTION
