Actual,Predicted,Confidence,Raw_Prediction,Valid_Prediction,Correct
1.0,-1,0.02643305,0.48678347,False,False
0.0,-1,0.05017966,0.47491017,False,False
1.0,-1,0.10308677,0.44845662,False,False
0.0,-1,0.16955352,0.41522324,False,False
1.0,0,0.28898424,0.35550788,True,False
1.0,0,0.396631,0.3016845,True,False
1.0,0,0.44678044,0.27660978,True,False
0.0,0,0.5012069,0.24939655,True,True
0.0,0,0.5468403,0.22657984,True,True
0.0,0,0.55029047,0.22485477,True,True
0.0,0,0.5579494,0.22102529,True,True
0.0,0,0.5601238,0.2199381,True,True
0.0,0,0.5347369,0.23263155,True,True
0.0,0,0.5062728,0.24686362,True,True
0.0,0,0.47260785,0.26369607,True,True
1.0,0,0.41359335,0.29320332,True,False
0.0,0,0.3780685,0.31096575,True,True
1.0,0,0.3596261,0.32018694,True,False
0.0,0,0.37566102,0.3121695,True,True
1.0,0,0.39267856,0.30366072,True,False
1.0,0,0.37087494,0.31456253,True,False
1.0,0,0.29009086,0.35495457,True,False
1.0,-1,0.2186808,0.3906596,False,False
0.0,-1,0.16698492,0.41650754,False,False
0.0,-1,0.12957942,0.4352103,False,False
1.0,-1,0.14315122,0.4284244,False,False
0.0,-1,0.18899697,0.4055015,False,False
1.0,-1,0.21892053,0.39053974,False,False
0.0,-1,0.2156654,0.3921673,False,False
0.0,-1,0.178446,0.410777,False,False
1.0,-1,0.2084009,0.39579955,False,False
1.0,-1,0.24553615,0.37723193,False,False
1.0,0,0.27946,0.36027,True,False
0.0,0,0.31423962,0.3428802,True,True
0.0,0,0.3226449,0.33867756,True,True
1.0,0,0.3470531,0.32647344,True,False
1.0,0,0.3716662,0.3141669,True,False
0.0,0,0.41516382,0.2924181,True,True
0.0,0,0.4551329,0.27243355,True,True
0.0,0,0.5001668,0.24991661,True,True
0.0,0,0.55019605,0.22490197,True,True
1.0,0,0.6476035,0.17619824,True,False
1.0,0,0.70108855,0.14945574,True,False
1.0,0,0.67932075,0.16033962,True,False
0.0,0,0.6378025,0.18109876,True,True
1.0,0,0.51367295,0.24316353,True,False
0.0,0,0.34754395,0.32622802,True,True
1.0,-1,0.20378178,0.3981091,False,False
1.0,-1,0.13939202,0.430304,False,False
1.0,-1,0.029505491,0.48524725,False,False
1.0,-1,0.05104685,0.5255234,False,False
1.0,-1,0.11205983,0.5560299,False,False
1.0,-1,0.15556526,0.57778263,False,False
0.0,-1,0.1693778,0.5846889,False,False
0.0,-1,0.18300796,0.591504,False,False
1.0,-1,0.17556357,0.5877818,False,False
0.0,-1,0.15506983,0.5775349,False,False
0.0,-1,0.1766591,0.58832955,False,False
1.0,-1,0.18432188,0.59216094,False,False
0.0,1,0.25072002,0.62536,True,False
0.0,1,0.3427906,0.6713953,True,False
0.0,1,0.38225663,0.6911283,True,False
1.0,1,0.3763399,0.68816996,True,True
0.0,1,0.35442758,0.6772138,True,False
1.0,1,0.32959223,0.6647961,True,True
1.0,1,0.26514268,0.63257134,True,True
0.0,-1,0.22561741,0.6128087,False,False
0.0,-1,0.1849277,0.59246385,False,False
1.0,-1,0.15633821,0.5781691,False,False
0.0,-1,0.093067765,0.5465339,False,False
1.0,-1,0.060180545,0.5300903,False,False
0.0,-1,0.07901621,0.5395081,False,False
0.0,-1,0.11402726,0.55701363,False,False
1.0,-1,0.15716016,0.5785801,False,False
1.0,-1,0.21453238,0.6072662,False,False
0.0,-1,0.2360456,0.6180228,False,False
1.0,-1,0.24274135,0.6213707,False,False
1.0,-1,0.24841368,0.62420684,False,False
0.0,-1,0.21289062,0.6064453,False,False
1.0,-1,0.18731654,0.59365827,False,False
1.0,-1,0.16555321,0.5827766,False,False
1.0,-1,0.16045403,0.580227,False,False
0.0,-1,0.15979815,0.5798991,False,False
1.0,-1,0.17002034,0.5850102,False,False
0.0,-1,0.18581843,0.5929092,False,False
1.0,-1,0.19213271,0.59606636,False,False
0.0,-1,0.18576455,0.5928823,False,False
0.0,-1,0.20198238,0.6009912,False,False
1.0,-1,0.21485329,0.60742664,False,False
0.0,-1,0.1949619,0.59748095,False,False
1.0,-1,0.19030225,0.5951511,False,False
0.0,-1,0.1923902,0.5961951,False,False
